"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","HUR","MEN","PC_LF","M","2012-07",9.6,
"POL","HUR","MEN","PC_LF","M","2012-08",9.7,
"POL","HUR","MEN","PC_LF","M","2012-09",9.7,
"POL","HUR","MEN","PC_LF","M","2012-10",9.6,
"POL","HUR","MEN","PC_LF","M","2012-11",9.6,
"POL","HUR","MEN","PC_LF","M","2012-12",9.6,
"POL","HUR","MEN","PC_LF","M","2013-01",9.8,
"POL","HUR","MEN","PC_LF","M","2013-02",9.8,
"POL","HUR","MEN","PC_LF","M","2013-03",9.9,
"POL","HUR","MEN","PC_LF","M","2013-04",10,
"POL","HUR","MEN","PC_LF","M","2013-05",9.9,
"POL","HUR","MEN","PC_LF","M","2013-06",9.8,
"POL","HUR","MEN","PC_LF","M","2013-07",9.8,
"POL","HUR","MEN","PC_LF","M","2013-08",9.7,
"POL","HUR","MEN","PC_LF","M","2013-09",9.6,
"POL","HUR","MEN","PC_LF","M","2013-10",9.4,
"POL","HUR","MEN","PC_LF","M","2013-11",9.4,
"POL","HUR","MEN","PC_LF","M","2013-12",9.4,
"POL","HUR","MEN","PC_LF","M","2014-01",9.4,
"POL","HUR","MEN","PC_LF","M","2014-02",9.4,
"POL","HUR","MEN","PC_LF","M","2014-03",9.2,
"POL","HUR","MEN","PC_LF","M","2014-04",9,
"POL","HUR","MEN","PC_LF","M","2014-05",8.8,
"POL","HUR","MEN","PC_LF","M","2014-06",8.5,
"POL","HUR","MEN","PC_LF","M","2014-07",8.2,
"POL","HUR","MEN","PC_LF","M","2014-08",8,
"POL","HUR","MEN","PC_LF","M","2014-09",7.9,
"POL","HUR","MEN","PC_LF","M","2014-10",7.8,
"POL","HUR","MEN","PC_LF","M","2014-11",7.8,
"POL","HUR","MEN","PC_LF","M","2014-12",7.8,
"POL","HUR","MEN","PC_LF","M","2015-01",7.9,
"POL","HUR","MEN","PC_LF","M","2015-02",7.8,
"POL","HUR","MEN","PC_LF","M","2015-03",7.7,
"POL","HUR","MEN","PC_LF","M","2015-04",7.5,
"POL","HUR","MEN","PC_LF","M","2015-05",7.4,
"POL","HUR","MEN","PC_LF","M","2015-06",7.3,
"POL","HUR","MEN","PC_LF","M","2015-07",7.2,
"POL","HUR","MEN","PC_LF","M","2015-08",7.1,
"POL","HUR","MEN","PC_LF","M","2015-09",7.1,
"POL","HUR","MEN","PC_LF","M","2015-10",7,
"POL","HUR","MEN","PC_LF","M","2015-11",6.9,
"POL","HUR","MEN","PC_LF","M","2015-12",6.8,
"POL","HUR","MEN","PC_LF","M","2016-01",6.6,
"POL","HUR","MEN","PC_LF","M","2016-02",6.5,
"POL","HUR","MEN","PC_LF","M","2016-03",6.4,
"POL","HUR","MEN","PC_LF","M","2016-04",6.4,
"POL","HUR","MEN","PC_LF","M","2016-05",6.3,
"POL","HUR","MEN","PC_LF","M","2016-06",6.2,
"POL","HUR","MEN","PC_LF","M","2016-07",6.1,
"POL","HUR","MEN","PC_LF","M","2016-08",6,
"POL","HUR","MEN","PC_LF","M","2016-09",5.8,
"POL","HUR","MEN","PC_LF","M","2016-10",5.7,
"POL","HUR","MEN","PC_LF","M","2016-11",5.6,
"POL","HUR","MEN","PC_LF","M","2016-12",5.4,
"POL","HUR","MEN","PC_LF","M","2017-01",5.3,
"POL","HUR","MEN","PC_LF","M","2017-02",5.2,
"POL","HUR","MEN","PC_LF","M","2017-03",5.1,
"POL","HUR","MEN","PC_LF","M","2017-04",5.2,
"POL","HUR","MEN","PC_LF","M","2017-05",5.2,
"POL","HUR","MEN","PC_LF","M","2017-06",5,
"POL","HUR","MEN","PC_LF","M","2017-07",4.8,
"POL","HUR","MEN","PC_LF","M","2017-08",4.7,
"POL","HUR","MEN","PC_LF","M","2017-09",4.6,
"POL","HUR","MEN","PC_LF","M","2017-10",4.5,
"POL","HUR","MEN","PC_LF","M","2017-11",4.4,
"POL","HUR","MEN","PC_LF","M","2017-12",4.3,
"POL","HUR","MEN","PC_LF","M","2018-01",4.1,
"POL","HUR","MEN","PC_LF","M","2018-02",3.9,
"POL","HUR","MEN","PC_LF","M","2018-03",3.8,
"POL","HUR","MEN","PC_LF","M","2018-04",3.7,
"POL","HUR","MEN","PC_LF","M","2018-05",3.7,
"POL","HUR","MEN","PC_LF","M","2018-06",3.8,
"POL","HUR","MEN","PC_LF","M","2018-07",4,
"POL","HUR","MEN","PC_LF","M","2018-08",4.1,
"POL","HUR","MEN","PC_LF","M","2018-09",4,
"POL","HUR","MEN","PC_LF","M","2018-10",3.8,
"POL","HUR","MEN","PC_LF","M","2018-11",3.7,
"POL","HUR","MEN","PC_LF","M","2018-12",3.5,
"POL","HUR","MEN","PC_LF","M","2019-01",3.4,
"POL","HUR","MEN","PC_LF","M","2019-02",3.3,
"POL","HUR","MEN","PC_LF","M","2019-03",3.3,
"POL","HUR","MEN","PC_LF","M","2019-04",3.2,
"POL","HUR","MEN","PC_LF","M","2019-05",3.1,
"POL","HUR","MEN","PC_LF","M","2019-06",3.1,
"POL","HUR","MEN","PC_LF","M","2019-07",3,
"POL","HUR","MEN","PC_LF","M","2019-08",2.9,
"POL","HUR","MEN","PC_LF","M","2019-09",2.8,
"POL","HUR","MEN","PC_LF","M","2019-10",2.8,
"POL","HUR","MEN","PC_LF","M","2019-11",2.7,
"POL","HUR","MEN","PC_LF","M","2019-12",2.7,
"POL","HUR","MEN","PC_LF","M","2020-01",2.9,
"POL","HUR","MEN","PC_LF","M","2020-02",3,
"POL","HUR","MEN","PC_LF","M","2020-03",2.9,
"POL","HUR","MEN","PC_LF","M","2020-04",3.1,
"POL","HUR","MEN","PC_LF","M","2020-05",3.2,
"POL","HUR","MEN","PC_LF","M","2020-06",3.2,
"POL","HUR","MEN","PC_LF","M","2020-07",3.1,
"POL","HUR","MEN","PC_LF","M","2020-08",3,
"POL","HUR","MEN","PC_LF","M","2020-09",3,
"POL","HUR","MEN","PC_LF","M","2020-10",3.1,
"POL","HUR","MEN","PC_LF","M","2020-11",3.1,
"POL","HUR","WOMEN","PC_LF","M","2000-01",17.5,
"POL","HUR","WOMEN","PC_LF","M","2000-02",17.9,
"POL","HUR","WOMEN","PC_LF","M","2000-03",18.2,
"POL","HUR","WOMEN","PC_LF","M","2000-04",18.3,
"POL","HUR","WOMEN","PC_LF","M","2000-05",18.3,
"POL","HUR","WOMEN","PC_LF","M","2000-06",18.2,
"POL","HUR","WOMEN","PC_LF","M","2000-07",17.9,
"POL","HUR","WOMEN","PC_LF","M","2000-08",17.8,
"POL","HUR","WOMEN","PC_LF","M","2000-09",17.9,
"POL","HUR","WOMEN","PC_LF","M","2000-10",18.2,
"POL","HUR","WOMEN","PC_LF","M","2000-11",18.5,
"POL","HUR","WOMEN","PC_LF","M","2000-12",18.8,
"POL","HUR","WOMEN","PC_LF","M","2001-01",19,
"POL","HUR","WOMEN","PC_LF","M","2001-02",19.2,
"POL","HUR","WOMEN","PC_LF","M","2001-03",19.5,
"POL","HUR","WOMEN","PC_LF","M","2001-04",19.8,
"POL","HUR","WOMEN","PC_LF","M","2001-05",20.1,
"POL","HUR","WOMEN","PC_LF","M","2001-06",20.1,
"POL","HUR","WOMEN","PC_LF","M","2001-07",20,
"POL","HUR","WOMEN","PC_LF","M","2001-08",20,
"POL","HUR","WOMEN","PC_LF","M","2001-09",20,
"POL","HUR","WOMEN","PC_LF","M","2001-10",20.2,
"POL","HUR","WOMEN","PC_LF","M","2001-11",20.4,
"POL","HUR","WOMEN","PC_LF","M","2001-12",20.4,
"POL","HUR","WOMEN","PC_LF","M","2002-01",20.5,
"POL","HUR","WOMEN","PC_LF","M","2002-02",20.5,
"POL","HUR","WOMEN","PC_LF","M","2002-03",20.7,
"POL","HUR","WOMEN","PC_LF","M","2002-04",20.9,
"POL","HUR","WOMEN","PC_LF","M","2002-05",20.7,
"POL","HUR","WOMEN","PC_LF","M","2002-06",21.2,
"POL","HUR","WOMEN","PC_LF","M","2002-07",21.5,
"POL","HUR","WOMEN","PC_LF","M","2002-08",21.7,
"POL","HUR","WOMEN","PC_LF","M","2002-09",21.5,
"POL","HUR","WOMEN","PC_LF","M","2002-10",21.2,
"POL","HUR","WOMEN","PC_LF","M","2002-11",20.9,
"POL","HUR","WOMEN","PC_LF","M","2002-12",20.7,
"POL","HUR","WOMEN","PC_LF","M","2003-01",20.6,
"POL","HUR","WOMEN","PC_LF","M","2003-02",20.5,
"POL","HUR","WOMEN","PC_LF","M","2003-03",20.4,
"POL","HUR","WOMEN","PC_LF","M","2003-04",20.2,
"POL","HUR","WOMEN","PC_LF","M","2003-05",20.3,
"POL","HUR","WOMEN","PC_LF","M","2003-06",20.5,
"POL","HUR","WOMEN","PC_LF","M","2003-07",20.8,
"POL","HUR","WOMEN","PC_LF","M","2003-08",20.9,
"POL","HUR","WOMEN","PC_LF","M","2003-09",20.8,
"POL","HUR","WOMEN","PC_LF","M","2003-10",20.6,
"POL","HUR","WOMEN","PC_LF","M","2003-11",20.5,
"POL","HUR","WOMEN","PC_LF","M","2003-12",20.7,
"POL","HUR","WOMEN","PC_LF","M","2004-01",21,
"POL","HUR","WOMEN","PC_LF","M","2004-02",20.9,
"POL","HUR","WOMEN","PC_LF","M","2004-03",20.8,
"POL","HUR","WOMEN","PC_LF","M","2004-04",20.5,
"POL","HUR","WOMEN","PC_LF","M","2004-05",20.3,
"POL","HUR","WOMEN","PC_LF","M","2004-06",20.1,
"POL","HUR","WOMEN","PC_LF","M","2004-07",19.7,
"POL","HUR","WOMEN","PC_LF","M","2004-08",19.5,
"POL","HUR","WOMEN","PC_LF","M","2004-09",19.4,
"POL","HUR","WOMEN","PC_LF","M","2004-10",19.6,
"POL","HUR","WOMEN","PC_LF","M","2004-11",19.7,
"POL","HUR","WOMEN","PC_LF","M","2004-12",19.9,
"POL","HUR","WOMEN","PC_LF","M","2005-01",19.5,
"POL","HUR","WOMEN","PC_LF","M","2005-02",20,
"POL","HUR","WOMEN","PC_LF","M","2005-03",19.7,
"POL","HUR","WOMEN","PC_LF","M","2005-04",19.9,
"POL","HUR","WOMEN","PC_LF","M","2005-05",19.7,
"POL","HUR","WOMEN","PC_LF","M","2005-06",19.6,
"POL","HUR","WOMEN","PC_LF","M","2005-07",19.6,
"POL","HUR","WOMEN","PC_LF","M","2005-08",19.5,
"POL","HUR","WOMEN","PC_LF","M","2005-09",19.3,
"POL","HUR","WOMEN","PC_LF","M","2005-10",19,
"POL","HUR","WOMEN","PC_LF","M","2005-11",18.5,
"POL","HUR","WOMEN","PC_LF","M","2005-12",17.8,
"POL","HUR","WOMEN","PC_LF","M","2006-01",17.1,
"POL","HUR","WOMEN","PC_LF","M","2006-02",16.4,
"POL","HUR","WOMEN","PC_LF","M","2006-03",16.1,
"POL","HUR","WOMEN","PC_LF","M","2006-04",15.8,
"POL","HUR","WOMEN","PC_LF","M","2006-05",15.5,
"POL","HUR","WOMEN","PC_LF","M","2006-06",15.1,
"POL","HUR","WOMEN","PC_LF","M","2006-07",14.8,
"POL","HUR","WOMEN","PC_LF","M","2006-08",14.6,
"POL","HUR","WOMEN","PC_LF","M","2006-09",14.3,
"POL","HUR","WOMEN","PC_LF","M","2006-10",14.1,
"POL","HUR","WOMEN","PC_LF","M","2006-11",13.7,
"POL","HUR","WOMEN","PC_LF","M","2006-12",13.1,
"POL","HUR","WOMEN","PC_LF","M","2007-01",12.4,
"POL","HUR","WOMEN","PC_LF","M","2007-02",11.7,
"POL","HUR","WOMEN","PC_LF","M","2007-03",11.2,
"POL","HUR","WOMEN","PC_LF","M","2007-04",10.8,
"POL","HUR","WOMEN","PC_LF","M","2007-05",10.4,
"POL","HUR","WOMEN","PC_LF","M","2007-06",10.2,
"POL","HUR","WOMEN","PC_LF","M","2007-07",10,
"POL","HUR","WOMEN","PC_LF","M","2007-08",9.9,
"POL","HUR","WOMEN","PC_LF","M","2007-09",9.7,
"POL","HUR","WOMEN","PC_LF","M","2007-10",9.6,
"POL","HUR","WOMEN","PC_LF","M","2007-11",9.4,
"POL","HUR","WOMEN","PC_LF","M","2007-12",9,
"POL","HUR","WOMEN","PC_LF","M","2008-01",8.6,
"POL","HUR","WOMEN","PC_LF","M","2008-02",8.2,
"POL","HUR","WOMEN","PC_LF","M","2008-03",8,
"POL","HUR","WOMEN","PC_LF","M","2008-04",8,
"POL","HUR","WOMEN","PC_LF","M","2008-05",8,
"POL","HUR","WOMEN","PC_LF","M","2008-06",7.9,
"POL","HUR","WOMEN","PC_LF","M","2008-07",7.9,
"POL","HUR","WOMEN","PC_LF","M","2008-08",7.8,
"POL","HUR","WOMEN","PC_LF","M","2008-09",7.6,
"POL","HUR","WOMEN","PC_LF","M","2008-10",7.5,
"POL","HUR","WOMEN","PC_LF","M","2008-11",7.6,
"POL","HUR","WOMEN","PC_LF","M","2008-12",7.8,
"POL","HUR","WOMEN","PC_LF","M","2009-01",8.1,
"POL","HUR","WOMEN","PC_LF","M","2009-02",8.4,
"POL","HUR","WOMEN","PC_LF","M","2009-03",8.6,
"POL","HUR","WOMEN","PC_LF","M","2009-04",8.5,
"POL","HUR","WOMEN","PC_LF","M","2009-05",8.5,
"POL","HUR","WOMEN","PC_LF","M","2009-06",8.5,
"POL","HUR","WOMEN","PC_LF","M","2009-07",8.6,
"POL","HUR","WOMEN","PC_LF","M","2009-08",8.6,
"POL","HUR","WOMEN","PC_LF","M","2009-09",8.6,
"POL","HUR","WOMEN","PC_LF","M","2009-10",8.6,
"POL","HUR","WOMEN","PC_LF","M","2009-11",8.8,
"POL","HUR","WOMEN","PC_LF","M","2009-12",9.2,
"POL","HUR","WOMEN","PC_LF","M","2010-01",10.3,
"POL","HUR","WOMEN","PC_LF","M","2010-02",10.3,
"POL","HUR","WOMEN","PC_LF","M","2010-03",10.3,
"POL","HUR","WOMEN","PC_LF","M","2010-04",10.2,
"POL","HUR","WOMEN","PC_LF","M","2010-05",10.1,
"POL","HUR","WOMEN","PC_LF","M","2010-06",10,
"POL","HUR","WOMEN","PC_LF","M","2010-07",9.9,
"POL","HUR","WOMEN","PC_LF","M","2010-08",9.8,
"POL","HUR","WOMEN","PC_LF","M","2010-09",9.9,
"POL","HUR","WOMEN","PC_LF","M","2010-10",9.9,
"POL","HUR","WOMEN","PC_LF","M","2010-11",9.9,
"POL","HUR","WOMEN","PC_LF","M","2010-12",9.8,
"POL","HUR","WOMEN","PC_LF","M","2011-01",9.7,
"POL","HUR","WOMEN","PC_LF","M","2011-02",9.7,
"POL","HUR","WOMEN","PC_LF","M","2011-03",9.9,
"POL","HUR","WOMEN","PC_LF","M","2011-04",10.2,
"POL","HUR","WOMEN","PC_LF","M","2011-05",10.4,
"POL","HUR","WOMEN","PC_LF","M","2011-06",10.5,
"POL","HUR","WOMEN","PC_LF","M","2011-07",10.6,
"POL","HUR","WOMEN","PC_LF","M","2011-08",10.7,
"POL","HUR","WOMEN","PC_LF","M","2011-09",10.8,
"POL","HUR","WOMEN","PC_LF","M","2011-10",10.9,
"POL","HUR","WOMEN","PC_LF","M","2011-11",10.9,
"POL","HUR","WOMEN","PC_LF","M","2011-12",10.7,
"POL","HUR","WOMEN","PC_LF","M","2012-01",10.6,
"POL","HUR","WOMEN","PC_LF","M","2012-02",10.6,
"POL","HUR","WOMEN","PC_LF","M","2012-03",10.7,
"POL","HUR","WOMEN","PC_LF","M","2012-04",10.9,
"POL","HUR","WOMEN","PC_LF","M","2012-05",11,
"POL","HUR","WOMEN","PC_LF","M","2012-06",11.1,
"POL","HUR","WOMEN","PC_LF","M","2012-07",11,
"POL","HUR","WOMEN","PC_LF","M","2012-08",11,
"POL","HUR","WOMEN","PC_LF","M","2012-09",11,
"POL","HUR","WOMEN","PC_LF","M","2012-10",11,
"POL","HUR","WOMEN","PC_LF","M","2012-11",11.1,
"POL","HUR","WOMEN","PC_LF","M","2012-12",11.2,
"POL","HUR","WOMEN","PC_LF","M","2013-01",11.4,
"POL","HUR","WOMEN","PC_LF","M","2013-02",11.6,
"POL","HUR","WOMEN","PC_LF","M","2013-03",11.6,
"POL","HUR","WOMEN","PC_LF","M","2013-04",11.7,
"POL","HUR","WOMEN","PC_LF","M","2013-05",11.5,
"POL","HUR","WOMEN","PC_LF","M","2013-06",11.3,
"POL","HUR","WOMEN","PC_LF","M","2013-07",11.1,
"POL","HUR","WOMEN","PC_LF","M","2013-08",10.9,
"POL","HUR","WOMEN","PC_LF","M","2013-09",10.7,
"POL","HUR","WOMEN","PC_LF","M","2013-10",10.6,
"POL","HUR","WOMEN","PC_LF","M","2013-11",10.5,
"POL","HUR","WOMEN","PC_LF","M","2013-12",10.6,
"POL","HUR","WOMEN","PC_LF","M","2014-01",10.7,
"POL","HUR","WOMEN","PC_LF","M","2014-02",10.7,
"POL","HUR","WOMEN","PC_LF","M","2014-03",10.5,
"POL","HUR","WOMEN","PC_LF","M","2014-04",10.3,
"POL","HUR","WOMEN","PC_LF","M","2014-05",9.9,
"POL","HUR","WOMEN","PC_LF","M","2014-06",9.6,
"POL","HUR","WOMEN","PC_LF","M","2014-07",9.3,
"POL","HUR","WOMEN","PC_LF","M","2014-08",9.1,
"POL","HUR","WOMEN","PC_LF","M","2014-09",8.9,
"POL","HUR","WOMEN","PC_LF","M","2014-10",8.8,
"POL","HUR","WOMEN","PC_LF","M","2014-11",8.8,
"POL","HUR","WOMEN","PC_LF","M","2014-12",8.7,
"POL","HUR","WOMEN","PC_LF","M","2015-01",8.6,
"POL","HUR","WOMEN","PC_LF","M","2015-02",8.4,
"POL","HUR","WOMEN","PC_LF","M","2015-03",8.2,
"POL","HUR","WOMEN","PC_LF","M","2015-04",7.9,
"POL","HUR","WOMEN","PC_LF","M","2015-05",7.8,
"POL","HUR","WOMEN","PC_LF","M","2015-06",7.7,
"POL","HUR","WOMEN","PC_LF","M","2015-07",7.7,
"POL","HUR","WOMEN","PC_LF","M","2015-08",7.6,
"POL","HUR","WOMEN","PC_LF","M","2015-09",7.5,
"POL","HUR","WOMEN","PC_LF","M","2015-10",7.3,
"POL","HUR","WOMEN","PC_LF","M","2015-11",7.1,
"POL","HUR","WOMEN","PC_LF","M","2015-12",7,
"POL","HUR","WOMEN","PC_LF","M","2016-01",6.8,
"POL","HUR","WOMEN","PC_LF","M","2016-02",6.7,
"POL","HUR","WOMEN","PC_LF","M","2016-03",6.5,
"POL","HUR","WOMEN","PC_LF","M","2016-04",6.4,
"POL","HUR","WOMEN","PC_LF","M","2016-05",6.3,
"POL","HUR","WOMEN","PC_LF","M","2016-06",6.3,
"POL","HUR","WOMEN","PC_LF","M","2016-07",6.4,
"POL","HUR","WOMEN","PC_LF","M","2016-08",6.3,
