"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","UNEMP","15_24","PC_LF","M","2016-11",15.7,
"POL","UNEMP","15_24","PC_LF","M","2016-12",15.4,
"POL","UNEMP","15_24","PC_LF","M","2017-01",15.3,
"POL","UNEMP","15_24","PC_LF","M","2017-02",15.3,
"POL","UNEMP","15_24","PC_LF","M","2017-03",15.4,
"POL","UNEMP","15_24","PC_LF","M","2017-04",15.5,
"POL","UNEMP","15_24","PC_LF","M","2017-05",15.4,
"POL","UNEMP","15_24","PC_LF","M","2017-06",15,
"POL","UNEMP","15_24","PC_LF","M","2017-07",14.4,
"POL","UNEMP","15_24","PC_LF","M","2017-08",14.1,
"POL","UNEMP","15_24","PC_LF","M","2017-09",14.1,
"POL","UNEMP","15_24","PC_LF","M","2017-10",14.4,
"POL","UNEMP","15_24","PC_LF","M","2017-11",14.1,
"POL","UNEMP","15_24","PC_LF","M","2017-12",13.6,
"POL","UNEMP","15_24","PC_LF","M","2018-01",12.7,
"POL","UNEMP","15_24","PC_LF","M","2018-02",12.1,
"POL","UNEMP","15_24","PC_LF","M","2018-03",11.6,
"POL","UNEMP","15_24","PC_LF","M","2018-04",11.2,
"POL","UNEMP","15_24","PC_LF","M","2018-05",11.1,
"POL","UNEMP","15_24","PC_LF","M","2018-06",11.4,
"POL","UNEMP","15_24","PC_LF","M","2018-07",11.9,
"POL","UNEMP","15_24","PC_LF","M","2018-08",12,
"POL","UNEMP","15_24","PC_LF","M","2018-09",12,
"POL","UNEMP","15_24","PC_LF","M","2018-10",12,
"POL","UNEMP","15_24","PC_LF","M","2018-11",11.8,
"POL","UNEMP","15_24","PC_LF","M","2018-12",11.6,
"POL","UNEMP","15_24","PC_LF","M","2019-01",11.2,
"POL","UNEMP","15_24","PC_LF","M","2019-02",10.9,
"POL","UNEMP","15_24","PC_LF","M","2019-03",10.9,
"POL","UNEMP","15_24","PC_LF","M","2019-04",11.1,
"POL","UNEMP","15_24","PC_LF","M","2019-05",11,
"POL","UNEMP","15_24","PC_LF","M","2019-06",10.8,
"POL","UNEMP","15_24","PC_LF","M","2019-07",10.2,
"POL","UNEMP","15_24","PC_LF","M","2019-08",9.7,
"POL","UNEMP","15_24","PC_LF","M","2019-09",9,
"POL","UNEMP","15_24","PC_LF","M","2019-10",8.4,
"POL","UNEMP","15_24","PC_LF","M","2019-11",8,
"POL","UNEMP","15_24","PC_LF","M","2019-12",7.8,
"POL","UNEMP","15_24","PC_LF","M","2020-01",8.9,
"POL","UNEMP","15_24","PC_LF","M","2020-02",9.6,
"POL","UNEMP","15_24","PC_LF","M","2020-03",9.5,
"POL","UNEMP","15_24","PC_LF","M","2020-04",9.6,
"POL","UNEMP","15_24","PC_LF","M","2020-05",10,
"POL","UNEMP","15_24","PC_LF","M","2020-06",10.7,
"POL","UNEMP","15_24","PC_LF","M","2020-07",11.1,
"POL","UNEMP","15_24","PC_LF","M","2020-08",11.2,
"POL","UNEMP","15_24","PC_LF","M","2020-09",11.3,
"POL","UNEMP","15_24","PC_LF","M","2020-10",12.3,
"POL","UNEMP","15_24","PC_LF","M","2020-11",12.5,
"POL","UNEMP","25_74","PC_LF","M","2000-11",13.6,
"POL","UNEMP","25_74","PC_LF","M","2000-12",13.8,
"POL","UNEMP","25_74","PC_LF","M","2001-01",14,
"POL","UNEMP","25_74","PC_LF","M","2001-02",14.1,
"POL","UNEMP","25_74","PC_LF","M","2001-03",14.4,
"POL","UNEMP","25_74","PC_LF","M","2001-04",14.8,
"POL","UNEMP","25_74","PC_LF","M","2001-05",15,
"POL","UNEMP","25_74","PC_LF","M","2001-06",15.1,
"POL","UNEMP","25_74","PC_LF","M","2001-07",15,
"POL","UNEMP","25_74","PC_LF","M","2001-08",15,
"POL","UNEMP","25_74","PC_LF","M","2001-09",15.1,
"POL","UNEMP","25_74","PC_LF","M","2001-10",15.3,
"POL","UNEMP","25_74","PC_LF","M","2001-11",15.5,
"POL","UNEMP","25_74","PC_LF","M","2001-12",15.7,
"POL","UNEMP","25_74","PC_LF","M","2002-01",15.9,
"POL","UNEMP","25_74","PC_LF","M","2002-02",16,
"POL","UNEMP","25_74","PC_LF","M","2002-03",16.2,
"POL","UNEMP","25_74","PC_LF","M","2002-04",16.5,
"POL","UNEMP","25_74","PC_LF","M","2002-05",16.5,
"POL","UNEMP","25_74","PC_LF","M","2002-06",16.8,
"POL","UNEMP","25_74","PC_LF","M","2002-07",16.9,
"POL","UNEMP","25_74","PC_LF","M","2002-08",17,
"POL","UNEMP","25_74","PC_LF","M","2002-09",16.9,
"POL","UNEMP","25_74","PC_LF","M","2002-10",16.9,
"POL","UNEMP","25_74","PC_LF","M","2002-11",16.7,
"POL","UNEMP","25_74","PC_LF","M","2002-12",16.6,
"POL","UNEMP","25_74","PC_LF","M","2003-01",16.5,
"POL","UNEMP","25_74","PC_LF","M","2003-02",16.4,
"POL","UNEMP","25_74","PC_LF","M","2003-03",16.2,
"POL","UNEMP","25_74","PC_LF","M","2003-04",16.1,
"POL","UNEMP","25_74","PC_LF","M","2003-05",16.2,
"POL","UNEMP","25_74","PC_LF","M","2003-06",16.3,
"POL","UNEMP","25_74","PC_LF","M","2003-07",16.5,
"POL","UNEMP","25_74","PC_LF","M","2003-08",16.6,
"POL","UNEMP","25_74","PC_LF","M","2003-09",16.6,
"POL","UNEMP","25_74","PC_LF","M","2003-10",16.5,
"POL","UNEMP","25_74","PC_LF","M","2003-11",16.5,
"POL","UNEMP","25_74","PC_LF","M","2003-12",16.6,
"POL","UNEMP","25_74","PC_LF","M","2004-01",16.7,
"POL","UNEMP","25_74","PC_LF","M","2004-02",16.7,
"POL","UNEMP","25_74","PC_LF","M","2004-03",16.6,
"POL","UNEMP","25_74","PC_LF","M","2004-04",16.3,
"POL","UNEMP","25_74","PC_LF","M","2004-05",16.2,
"POL","UNEMP","25_74","PC_LF","M","2004-06",16.2,
"POL","UNEMP","25_74","PC_LF","M","2004-07",16.1,
"POL","UNEMP","25_74","PC_LF","M","2004-08",16,
"POL","UNEMP","25_74","PC_LF","M","2004-09",15.9,
"POL","UNEMP","25_74","PC_LF","M","2004-10",15.8,
"POL","UNEMP","25_74","PC_LF","M","2004-11",15.6,
"POL","UNEMP","25_74","PC_LF","M","2004-12",15.5,
"POL","UNEMP","25_74","PC_LF","M","2005-01",15.4,
"POL","UNEMP","25_74","PC_LF","M","2005-02",15.4,
"POL","UNEMP","25_74","PC_LF","M","2005-03",15.3,
"POL","UNEMP","25_74","PC_LF","M","2005-04",15.4,
"POL","UNEMP","25_74","PC_LF","M","2005-05",15.5,
"POL","UNEMP","25_74","PC_LF","M","2005-06",15.5,
"POL","UNEMP","25_74","PC_LF","M","2005-07",15.5,
"POL","UNEMP","25_74","PC_LF","M","2005-08",15.4,
"POL","UNEMP","25_74","PC_LF","M","2005-09",15.3,
"POL","UNEMP","25_74","PC_LF","M","2005-10",15.1,
"POL","UNEMP","25_74","PC_LF","M","2005-11",14.7,
"POL","UNEMP","25_74","PC_LF","M","2005-12",14.2,
"POL","UNEMP","25_74","PC_LF","M","2006-01",13.5,
"POL","UNEMP","25_74","PC_LF","M","2006-02",13,
"POL","UNEMP","25_74","PC_LF","M","2006-03",12.7,
"POL","UNEMP","25_74","PC_LF","M","2006-04",12.5,
"POL","UNEMP","25_74","PC_LF","M","2006-05",12.2,
"POL","UNEMP","25_74","PC_LF","M","2006-06",11.9,
"POL","UNEMP","25_74","PC_LF","M","2006-07",11.7,
"POL","UNEMP","25_74","PC_LF","M","2006-08",11.5,
"POL","UNEMP","25_74","PC_LF","M","2006-09",11.2,
"POL","UNEMP","25_74","PC_LF","M","2006-10",10.9,
"POL","UNEMP","25_74","PC_LF","M","2006-11",10.5,
"POL","UNEMP","25_74","PC_LF","M","2006-12",10,
"POL","UNEMP","25_74","PC_LF","M","2007-01",9.4,
"POL","UNEMP","25_74","PC_LF","M","2007-02",9,
"POL","UNEMP","25_74","PC_LF","M","2007-03",8.6,
"POL","UNEMP","25_74","PC_LF","M","2007-04",8.4,
"POL","UNEMP","25_74","PC_LF","M","2007-05",8.2,
"POL","UNEMP","25_74","PC_LF","M","2007-06",8,
"POL","UNEMP","25_74","PC_LF","M","2007-07",7.9,
"POL","UNEMP","25_74","PC_LF","M","2007-08",7.8,
"POL","UNEMP","25_74","PC_LF","M","2007-09",7.8,
"POL","UNEMP","25_74","PC_LF","M","2007-10",7.7,
"POL","UNEMP","25_74","PC_LF","M","2007-11",7.4,
"POL","UNEMP","25_74","PC_LF","M","2007-12",7.1,
"POL","UNEMP","25_74","PC_LF","M","2008-01",6.6,
"POL","UNEMP","25_74","PC_LF","M","2008-02",6.2,
"POL","UNEMP","25_74","PC_LF","M","2008-03",6,
"POL","UNEMP","25_74","PC_LF","M","2008-04",6,
"POL","UNEMP","25_74","PC_LF","M","2008-05",5.9,
"POL","UNEMP","25_74","PC_LF","M","2008-06",5.8,
"POL","UNEMP","25_74","PC_LF","M","2008-07",5.7,
"POL","UNEMP","25_74","PC_LF","M","2008-08",5.7,
"POL","UNEMP","25_74","PC_LF","M","2008-09",5.5,
"POL","UNEMP","25_74","PC_LF","M","2008-10",5.4,
"POL","UNEMP","25_74","PC_LF","M","2008-11",5.5,
"POL","UNEMP","25_74","PC_LF","M","2008-12",5.7,
"POL","UNEMP","25_74","PC_LF","M","2009-01",6.1,
"POL","UNEMP","25_74","PC_LF","M","2009-02",6.4,
"POL","UNEMP","25_74","PC_LF","M","2009-03",6.6,
"POL","UNEMP","25_74","PC_LF","M","2009-04",6.6,
"POL","UNEMP","25_74","PC_LF","M","2009-05",6.6,
"POL","UNEMP","25_74","PC_LF","M","2009-06",6.6,
"POL","UNEMP","25_74","PC_LF","M","2009-07",6.7,
"POL","UNEMP","25_74","PC_LF","M","2009-08",6.8,
"POL","UNEMP","25_74","PC_LF","M","2009-09",6.8,
"POL","UNEMP","25_74","PC_LF","M","2009-10",6.8,
"POL","UNEMP","25_74","PC_LF","M","2009-11",7,
"POL","UNEMP","25_74","PC_LF","M","2009-12",7.4,
"POL","UNEMP","25_74","PC_LF","M","2010-01",8.3,
"POL","UNEMP","25_74","PC_LF","M","2010-02",8.4,
"POL","UNEMP","25_74","PC_LF","M","2010-03",8.3,
"POL","UNEMP","25_74","PC_LF","M","2010-04",8.2,
"POL","UNEMP","25_74","PC_LF","M","2010-05",8.1,
"POL","UNEMP","25_74","PC_LF","M","2010-06",8,
"POL","UNEMP","25_74","PC_LF","M","2010-07",7.9,
"POL","UNEMP","25_74","PC_LF","M","2010-08",7.9,
"POL","UNEMP","25_74","PC_LF","M","2010-09",7.9,
"POL","UNEMP","25_74","PC_LF","M","2010-10",8,
"POL","UNEMP","25_74","PC_LF","M","2010-11",8,
"POL","UNEMP","25_74","PC_LF","M","2010-12",7.9,
"POL","UNEMP","25_74","PC_LF","M","2011-01",7.8,
"POL","UNEMP","25_74","PC_LF","M","2011-02",7.7,
"POL","UNEMP","25_74","PC_LF","M","2011-03",7.8,
"POL","UNEMP","25_74","PC_LF","M","2011-04",7.9,
"POL","UNEMP","25_74","PC_LF","M","2011-05",8,
"POL","UNEMP","25_74","PC_LF","M","2011-06",8,
"POL","UNEMP","25_74","PC_LF","M","2011-07",8,
"POL","UNEMP","25_74","PC_LF","M","2011-08",8,
"POL","UNEMP","25_74","PC_LF","M","2011-09",8.1,
"POL","UNEMP","25_74","PC_LF","M","2011-10",8.2,
"POL","UNEMP","25_74","PC_LF","M","2011-11",8.2,
"POL","UNEMP","25_74","PC_LF","M","2011-12",8.2,
"POL","UNEMP","25_74","PC_LF","M","2012-01",8.2,
"POL","UNEMP","25_74","PC_LF","M","2012-02",8.2,
"POL","UNEMP","25_74","PC_LF","M","2012-03",8.2,
"POL","UNEMP","25_74","PC_LF","M","2012-04",8.3,
"POL","UNEMP","25_74","PC_LF","M","2012-05",8.4,
"POL","UNEMP","25_74","PC_LF","M","2012-06",8.6,
"POL","UNEMP","25_74","PC_LF","M","2012-07",8.7,
"POL","UNEMP","25_74","PC_LF","M","2012-08",8.7,
"POL","UNEMP","25_74","PC_LF","M","2012-09",8.7,
"POL","UNEMP","25_74","PC_LF","M","2012-10",8.6,
"POL","UNEMP","25_74","PC_LF","M","2012-11",8.6,
"POL","UNEMP","25_74","PC_LF","M","2012-12",8.7,
"POL","UNEMP","25_74","PC_LF","M","2013-01",8.9,
"POL","UNEMP","25_74","PC_LF","M","2013-02",9,
"POL","UNEMP","25_74","PC_LF","M","2013-03",9.1,
"POL","UNEMP","25_74","PC_LF","M","2013-04",9.1,
"POL","UNEMP","25_74","PC_LF","M","2013-05",9.1,
"POL","UNEMP","25_74","PC_LF","M","2013-06",8.9,
"POL","UNEMP","25_74","PC_LF","M","2013-07",8.8,
"POL","UNEMP","25_74","PC_LF","M","2013-08",8.6,
"POL","UNEMP","25_74","PC_LF","M","2013-09",8.5,
"POL","UNEMP","25_74","PC_LF","M","2013-10",8.3,
"POL","UNEMP","25_74","PC_LF","M","2013-11",8.3,
"POL","UNEMP","25_74","PC_LF","M","2013-12",8.4,
"POL","UNEMP","25_74","PC_LF","M","2014-01",8.5,
"POL","UNEMP","25_74","PC_LF","M","2014-02",8.5,
"POL","UNEMP","25_74","PC_LF","M","2014-03",8.4,
"POL","UNEMP","25_74","PC_LF","M","2014-04",8.1,
"POL","UNEMP","25_74","PC_LF","M","2014-05",7.9,
"POL","UNEMP","25_74","PC_LF","M","2014-06",7.6,
"POL","UNEMP","25_74","PC_LF","M","2014-07",7.3,
"POL","UNEMP","25_74","PC_LF","M","2014-08",7.1,
"POL","UNEMP","25_74","PC_LF","M","2014-09",7,
"POL","UNEMP","25_74","PC_LF","M","2014-10",7,
"POL","UNEMP","25_74","PC_LF","M","2014-11",7,
"POL","UNEMP","25_74","PC_LF","M","2014-12",7,
"POL","UNEMP","25_74","PC_LF","M","2015-01",7,
"POL","UNEMP","25_74","PC_LF","M","2015-02",6.9,
"POL","UNEMP","25_74","PC_LF","M","2015-03",6.7,
"POL","UNEMP","25_74","PC_LF","M","2015-04",6.5,
"POL","UNEMP","25_74","PC_LF","M","2015-05",6.4,
"POL","UNEMP","25_74","PC_LF","M","2015-06",6.3,
"POL","UNEMP","25_74","PC_LF","M","2015-07",6.3,
"POL","UNEMP","25_74","PC_LF","M","2015-08",6.3,
"POL","UNEMP","25_74","PC_LF","M","2015-09",6.2,
"POL","UNEMP","25_74","PC_LF","M","2015-10",6,
"POL","UNEMP","25_74","PC_LF","M","2015-11",5.9,
"POL","UNEMP","25_74","PC_LF","M","2015-12",5.8,
"POL","UNEMP","25_74","PC_LF","M","2016-01",5.6,
"POL","UNEMP","25_74","PC_LF","M","2016-02",5.5,
"POL","UNEMP","25_74","PC_LF","M","2016-03",5.4,
"POL","UNEMP","25_74","PC_LF","M","2016-04",5.3,
"POL","UNEMP","25_74","PC_LF","M","2016-05",5.3,
"POL","UNEMP","25_74","PC_LF","M","2016-06",5.3,
"POL","UNEMP","25_74","PC_LF","M","2016-07",5.2,
"POL","UNEMP","25_74","PC_LF","M","2016-08",5.1,
"POL","UNEMP","25_74","PC_LF","M","2016-09",5,
"POL","UNEMP","25_74","PC_LF","M","2016-10",4.9,
"POL","UNEMP","25_74","PC_LF","M","2016-11",4.8,
"POL","UNEMP","25_74","PC_LF","M","2016-12",4.6,
"POL","UNEMP","25_74","PC_LF","M","2017-01",4.3,
