\LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HUR,MEN,PC_LF,M,2017-11,4.3,
USA,HUR,MEN,PC_LF,M,2017-12,4.1,
USA,HUR,MEN,PC_LF,M,2018-01,4.1,
USA,HUR,MEN,PC_LF,M,2018-02,4,
USA,HUR,MEN,PC_LF,M,2018-03,4,
USA,HUR,MEN,PC_LF,M,2018-04,4.2,
USA,HUR,MEN,PC_LF,M,2018-05,4,
USA,HUR,MEN,PC_LF,M,2018-06,4.1,
USA,HUR,MEN,PC_LF,M,2018-07,3.8,
USA,HUR,MEN,PC_LF,M,2018-08,3.9,
USA,HUR,MEN,PC_LF,M,2018-09,3.8,
USA,HUR,MEN,PC_LF,M,2018-10,3.8,
USA,HUR,MEN,PC_LF,M,2018-11,3.7,
USA,HUR,MEN,PC_LF,M,2018-12,4,
USA,HUR,MEN,PC_LF,M,2019-01,4,
USA,HUR,MEN,PC_LF,M,2019-02,3.8,
USA,HUR,MEN,PC_LF,M,2019-03,3.9,
USA,HUR,MEN,PC_LF,M,2019-04,3.9,
USA,HUR,MEN,PC_LF,M,2019-05,3.7,
USA,HUR,MEN,PC_LF,M,2019-06,3.6,
USA,HUR,MEN,PC_LF,M,2019-07,3.7,
USA,HUR,MEN,PC_LF,M,2019-08,3.7,
USA,HUR,MEN,PC_LF,M,2019-09,3.6,
USA,HUR,MEN,PC_LF,M,2019-10,3.7,
USA,HUR,MEN,PC_LF,M,2019-11,3.6,
USA,HUR,MEN,PC_LF,M,2019-12,3.5,
USA,HUR,MEN,PC_LF,M,2020-01,3.5,
USA,HUR,MEN,PC_LF,M,2020-02,3.5,
USA,HUR,MEN,PC_LF,M,2020-03,4.4,
USA,HUR,MEN,PC_LF,M,2020-04,13.6,
USA,HUR,MEN,PC_LF,M,2020-05,12.2,
USA,HUR,MEN,PC_LF,M,2020-06,10.5,
USA,HUR,MEN,PC_LF,M,2020-07,9.8,
